user_id,watch_date,video_id,watch_time_minutes,country,video_genre,user_rating,watch_time_hours
user_7,2025-07-21,vid_3,56,USA,Action,1.3,0.9333333333333333
user_20,2025-07-04,vid_12,16,Germany,Documentary,1.7,0.26666666666666666
user_15,2025-07-01,vid_8,43,India,Horror,1.9,0.7166666666666667
user_11,2025-07-24,vid_22,134,UK,Comedy,2.2,2.2333333333333334
user_8,2025-07-09,vid_27,135,USA,Documentary,5.0,2.25
user_7,2025-07-08,vid_3,117,USA,Comedy,,1.95
user_19,2025-07-08,vid_1,105,India,Action,2.5,1.75
user_11,2025-07-05,vid_3,117,UK,Drama,3.9,1.95
user_11,2025-07-24,vid_5,85,UK,Action,4.7,1.4166666666666667
user_4,2025-07-04,vid_15,117,Germany,Documentary,4.8,1.95
user_8,2025-07-22,vid_14,6,UK,Comedy,1.2,0.1
user_3,2025-07-24,vid_3,134,UK,Comedy,2.6,2.2333333333333334
user_2,2025-07-29,vid_1,58,UK,Horror,1.4,0.9666666666666667
user_12,2025-07-18,vid_5,91,Canada,Comedy,,1.5166666666666666
user_6,2025-07-03,vid_26,133,Germany,Horror,1.7,2.216666666666667
user_2,2025-07-19,vid_23,151,USA,Drama,3.6,2.5166666666666666
user_1,2025-07-14,vid_14,130,India,Documentary,2.6,2.1666666666666665
user_12,2025-07-02,vid_7,134,USA,Horror,1.9,2.2333333333333334
user_12,2025-07-01,vid_27,57,Germany,Drama,2.1,0.95
user_17,2025-07-03,vid_9,176,India,Comedy,2.4,2.933333333333333
user_10,2025-07-07,vid_15,164,Germany,Comedy,2.0,2.7333333333333334
user_16,2025-07-08,vid_15,164,UK,Drama,2.8,2.7333333333333334
user_15,2025-07-17,vid_26,72,India,Comedy,1.1,1.2
user_15,2025-07-20,vid_10,127,UK,Drama,2.1,2.1166666666666667
user_19,2025-07-01,vid_28,149,USA,Horror,2.6,2.4833333333333334
user_12,2025-07-18,vid_13,42,USA,Horror,3.4,0.7
user_20,2025-07-07,vid_19,28,India,Drama,2.1,0.4666666666666667
user_3,2025-07-23,vid_7,73,India,Horror,,1.2166666666666666
user_5,2025-07-21,vid_17,120,Germany,Horror,,2.0
user_19,2025-07-23,vid_20,102,Germany,Horror,4.8,1.7
user_7,2025-07-18,vid_29,143,UK,Action,2.7,2.3833333333333333
user_9,2025-07-14,vid_4,148,India,Documentary,3.3,2.466666666666667
user_7,2025-07-08,vid_30,101,USA,Comedy,4.7,1.6833333333333333
user_18,2025-07-15,vid_5,128,Germany,Action,1.3,2.1333333333333333
user_4,2025-07-19,vid_23,74,Germany,Horror,4.5,1.2333333333333334
user_14,2025-07-09,vid_7,97,USA,Drama,3.2,1.6166666666666667
user_18,2025-07-26,vid_13,7,Germany,Horror,,0.11666666666666667
user_9,2025-07-28,vid_15,152,UK,Documentary,,2.533333333333333
user_2,2025-07-01,vid_11,168,India,Horror,4.1,2.8
user_20,2025-07-25,vid_29,151,USA,Drama,2.9,2.5166666666666666
user_15,2025-07-26,vid_4,94,India,Documentary,4.9,1.5666666666666667
user_7,2025-07-06,vid_13,151,Germany,Horror,2.5,2.5166666666666666
user_12,2025-07-23,vid_7,152,Germany,Documentary,4.0,2.533333333333333
user_8,2025-07-14,vid_27,100,USA,Comedy,,1.6666666666666667
user_15,2025-07-11,vid_19,56,UK,Comedy,4.3,0.9333333333333333
user_3,2025-07-09,vid_22,165,Canada,Horror,3.3,2.75
user_14,2025-07-05,vid_28,172,USA,Documentary,1.3,2.8666666666666667
user_17,2025-07-07,vid_2,132,Canada,Drama,,2.2
user_4,2025-07-31,vid_10,43,Canada,Horror,1.5,0.7166666666666667
user_18,2025-07-25,vid_13,86,UK,Comedy,1.1,1.4333333333333333
user_8,2025-07-11,vid_30,108,Canada,Comedy,1.3,1.8
user_4,2025-07-04,vid_25,133,Canada,Horror,3.8,2.216666666666667
user_2,2025-07-03,vid_21,15,UK,Documentary,3.1,0.25
user_6,2025-07-13,vid_6,155,Canada,Comedy,4.0,2.5833333333333335
user_10,2025-07-04,vid_28,163,Canada,Documentary,4.7,2.716666666666667
user_4,2025-07-12,vid_28,46,USA,Comedy,3.3,0.7666666666666667
user_18,2025-07-28,vid_12,103,USA,Action,3.9,1.7166666666666666
user_12,2025-07-12,vid_12,11,USA,Comedy,4.0,0.18333333333333332
user_2,2025-07-20,vid_20,148,USA,Comedy,2.5,2.466666666666667
user_10,2025-07-09,vid_30,94,UK,Drama,2.0,1.5666666666666667
user_4,2025-07-26,vid_30,116,Germany,Horror,,1.9333333333333333
user_14,2025-07-02,vid_11,64,Canada,Horror,2.0,1.0666666666666667
user_16,2025-07-24,vid_26,117,Canada,Documentary,2.1,1.95
user_15,2025-07-15,vid_23,6,UK,Comedy,1.8,0.1
user_8,2025-07-18,vid_28,133,Canada,Drama,4.5,2.216666666666667
user_14,2025-07-04,vid_25,52,USA,Documentary,4.0,0.8666666666666667
user_8,2025-07-30,vid_7,144,Germany,Action,1.2,2.4
user_16,2025-07-13,vid_30,41,India,Documentary,2.1,0.6833333333333333
user_13,2025-07-03,vid_1,164,Canada,Action,1.1,2.7333333333333334
user_18,2025-07-18,vid_1,13,USA,Comedy,3.0,0.21666666666666667
user_15,2025-07-10,vid_25,103,India,Action,2.9,1.7166666666666666
user_13,2025-07-27,vid_27,151,Germany,Documentary,4.3,2.5166666666666666
user_9,2025-07-21,vid_30,52,India,Drama,2.2,0.8666666666666667
user_15,2025-07-20,vid_25,135,USA,Drama,4.3,2.25
user_13,2025-07-29,vid_20,152,India,Horror,4.9,2.533333333333333
user_1,2025-07-28,vid_13,156,UK,Action,1.4,2.6
user_7,2025-07-12,vid_9,58,India,Action,4.2,0.9666666666666667
user_9,2025-07-19,vid_3,124,Canada,Horror,3.4,2.066666666666667
user_1,2025-07-07,vid_7,165,Canada,Documentary,2.9,2.75
user_12,2025-07-23,vid_6,156,UK,Action,2.7,2.6
user_8,2025-07-03,vid_8,120,USA,Drama,4.1,2.0
user_11,2025-07-02,vid_27,79,Canada,Drama,3.6,1.3166666666666667
user_19,2025-07-22,vid_9,117,Germany,Comedy,4.2,1.95
user_17,2025-07-08,vid_30,168,Canada,Action,4.6,2.8
user_8,2025-07-25,vid_5,170,Canada,Documentary,3.5,2.8333333333333335
user_3,2025-07-10,vid_1,108,USA,Horror,4.9,1.8
user_3,2025-07-03,vid_19,88,India,Horror,3.4,1.4666666666666666
user_1,2025-07-28,vid_10,116,Canada,Documentary,3.5,1.9333333333333333
user_5,2025-07-08,vid_12,103,UK,Comedy,,1.7166666666666666
user_10,2025-07-13,vid_24,157,India,Horror,1.4,2.6166666666666667
user_7,2025-07-15,vid_15,97,Germany,Action,3.9,1.6166666666666667
user_9,2025-07-04,vid_27,150,USA,Comedy,3.2,2.5
user_7,2025-07-09,vid_22,132,Germany,Action,2.8,2.2
user_9,2025-07-12,vid_24,114,Germany,Action,4.6,1.9
user_8,2025-07-15,vid_9,86,India,Comedy,2.2,1.4333333333333333
user_12,2025-07-18,vid_20,58,USA,Drama,,0.9666666666666667
user_2,2025-07-04,vid_17,167,Germany,Comedy,3.8,2.783333333333333
user_1,2025-07-30,vid_30,173,India,Comedy,4.2,2.8833333333333333
user_16,2025-07-12,vid_17,165,Germany,Comedy,2.8,2.75
user_5,2025-07-12,vid_26,72,India,Comedy,4.4,1.2
